# plot_id,DEMO-PLOT-001
# analysis_period,"['2023-07-02', '2026-07-19']"
# image_count,266
# source_list,"['Sentinel-2', 'Sentinel-1']"
# algorithm_versions,['HIST-RICE-1.0.0']
# processing_date,2026-07-24T16:12:15.181542+00:00
# provenance,DERIVED
# confidence,MODERATE
# limitations,"['Historical imagery analysis is an analytical demonstration. It does not independently verify AWD compliance.', 'Overhead imagery cannot directly measure water depth below the soil surface.', 'Crop-stage, planting-window, and harvest-window results are estimates unless confirmed by field records.', 'Fertilizer application, straw management, yield, and greenhouse-gas emissions cannot be determined reliably from imagery alone.', 'Carbon results shown in the demonstration are not verified carbon credits.', 'No actual cultivation or field IoT installation has been completed for the demonstration plot.']"
# synthetic_boundary_warning,"DEMO-PLOT-001 is a synthetic demonstration boundary. It is not a cadastral, surveyed, legal, ownership, or officially verified plot boundary."
# demo_disclaimer,Historical baseline analytical demonstration; no verified AWD or carbon-credit claim.
image_id,date,sensor,status,quality,plot_coverage_percent,vegetation_score,smoothed_vegetation_score,water_candidate_fraction,cultivated_area_estimate_rai,possible_harvested_area_rai,confidence,provenance
hist-s1-2023-07-02,2023-07-02,Sentinel-1,READY,95.0,100.0,1.0,,0.0,24.0,,HIGH,DERIVED
hist-s1-2023-07-06,2023-07-06,Sentinel-1,READY,95.0,100.0,0.997396,,0.007812,23.938,,HIGH,DERIVED
hist-s1-2023-07-30,2023-07-30,Sentinel-1,READY,95.0,100.0,1.0,,0.0,24.0,,HIGH,DERIVED
hist-s1-2023-08-07,2023-08-07,Sentinel-1,READY,95.0,100.0,1.0,,0.0,24.0,,HIGH,DERIVED
hist-s1-2023-08-11,2023-08-11,Sentinel-1,READY,95.0,100.0,0.973958,,0.015625,23.375,,HIGH,DERIVED
hist-s1-2023-08-19,2023-08-19,Sentinel-1,READY,95.0,100.0,1.0,,0.0,24.0,,HIGH,DERIVED
hist-s1-2023-08-23,2023-08-23,Sentinel-1,READY,95.0,100.0,1.0,0.249609,0.005208,24.0,,HIGH,DERIVED
hist-s2-2023-08-24,2023-08-24,Sentinel-2,READY,85.0,100.0,0.249609,0.1496095,0.0,15.812,3.437,HIGH,DERIVED
hist-s2-2023-08-29,2023-08-29,Sentinel-2,WARNING,63.21,27.375,0.04961,0.124179,0.0,0.0,24.0,LOW,DERIVED
hist-s2-2023-09-03,2023-09-03,Sentinel-2,WARNING,63.21,27.375,0.124179,0.0868945,0.0,0.0,23.75,LOW,DERIVED
hist-s1-2023-09-04,2023-09-04,Sentinel-1,READY,95.0,100.0,1.0,0.124179,0.0,24.0,,HIGH,DERIVED
hist-s1-2023-09-12,2023-09-12,Sentinel-1,READY,95.0,100.0,1.0,0.020433,0.0,24.0,,HIGH,DERIVED
hist-s2-2023-09-13,2023-09-13,Sentinel-2,READY,85.0,100.0,0.020433,0.020433,0.0,0.0,24.0,HIGH,DERIVED
hist-s1-2023-09-16,2023-09-16,Sentinel-1,READY,95.0,100.0,1.0,0.10236300000000001,0.0,24.0,,HIGH,DERIVED
hist-s2-2023-09-18,2023-09-18,Sentinel-2,READY,85.0,100.0,0.184293,0.051909500000000004,0.0,6.062,14.938,HIGH,DERIVED
hist-s2-2023-09-23,2023-09-23,Sentinel-2,WARNING,63.21,27.375,-0.080474,0.051909500000000004,0.0,0.0,24.0,LOW,DERIVED
hist-s1-2023-09-28,2023-09-28,Sentinel-1,READY,95.0,100.0,0.119792,-0.080474,0.552083,2.875,,HIGH,DERIVED
hist-s1-2023-10-06,2023-10-06,Sentinel-1,READY,95.0,100.0,1.0,,0.0,24.0,,HIGH,DERIVED
hist-s1-2023-10-10,2023-10-10,Sentinel-1,READY,95.0,100.0,1.0,-0.147308,0.0,24.0,,HIGH,DERIVED
hist-s2-2023-10-13,2023-10-13,Sentinel-2,READY,85.0,100.0,-0.147308,-0.16097899999999998,0.908854,0.0,2.125,HIGH,DERIVED
hist-s2-2023-10-18,2023-10-18,Sentinel-2,READY,85.0,100.0,-0.17465,-0.152034,0.958333,0.062,0.937,HIGH,DERIVED
hist-s2-2023-10-23,2023-10-23,Sentinel-2,READY,85.0,100.0,-0.152034,-0.17465,0.945312,0.0,1.25,HIGH,DERIVED
hist-s2-2023-10-28,2023-10-28,Sentinel-2,READY,85.0,100.0,-0.196903,-0.1744685,0.963542,0.0,0.875,HIGH,DERIVED
hist-s1-2023-10-30,2023-10-30,Sentinel-1,READY,95.0,100.0,1.0,-0.196903,0.0,24.0,,HIGH,DERIVED
